embedding_A,embedding_B,recall_A,recall_A_or_B,recall_gain,fpr_A,fpr_A_or_B,fp_increase,f1_A,f1_A_or_B,f1_gain,slack_B_picks_up_A,slack_A_picks_up_B
marlin,ridnet_pca_128,0.6626794258373205,0.9066985645933014,0.2440191387559809,0.19311663479923513,0.2982791586998088,0.10516252390057368,0.6959798994974874,0.7953830010493179,0.09940310155183052,102,28
marlin,ridnet_pca_256_face,0.6626794258373205,0.9473684210526315,0.284688995215311,0.19311663479923513,0.36711281070745694,0.1739961759082218,0.6959798994974874,0.7872763419483101,0.09129644245082269,119,17
marlin,ridnet_pca_256,0.6626794258373205,0.916267942583732,0.2535885167464115,0.19311663479923513,0.32504780114722753,0.1319311663479924,0.6959798994974874,0.7888774459320288,0.0928975464345414,106,29
senet,resnet,0.8803827751196173,0.9545454545454546,0.07416267942583732,0.13766730401529637,0.4282982791586998,0.2906309751434034,0.8578088578088578,0.7665706051873199,-0.09123825262153795,31,62
senet,ridnet_pca_128_face,0.8803827751196173,0.9449760765550239,0.06459330143540665,0.13766730401529637,0.23709369024856597,0.0994263862332696,0.8578088578088578,0.8431163287086446,-0.014692529100213236,27,40
senet,ridnet_pca_128,0.8803827751196173,0.9449760765550239,0.06459330143540665,0.13766730401529637,0.2562141491395793,0.11854684512428293,0.8578088578088578,0.8342133051742344,-0.02359555263462343,27,44
senet,ridnet_pca_256_face,0.8803827751196173,0.9736842105263158,0.09330143540669855,0.13766730401529637,0.31931166347992357,0.1816443594646272,0.8578088578088578,0.8205645161290323,-0.0372443416798256,39,28
senet,ridnet_pca_256,0.8803827751196173,0.9521531100478469,0.0717703349282296,0.13766730401529637,0.26003824091778205,0.12237093690248568,0.8578088578088578,0.8361344537815126,-0.021674404027345218,30,44
resnet,ridnet_pca_128_face,0.80622009569378,0.9473684210526315,0.14114832535885158,0.34990439770554493,0.41682600382409174,0.0669216061185468,0.7185501066098081,0.7674418604651163,0.048891753855308195,59,41
resnet,ridnet_pca_128,0.80622009569378,0.930622009569378,0.12440191387559807,0.34990439770554493,0.4225621414913958,0.07265774378585088,0.7185501066098081,0.7568093385214008,0.03825923191159264,52,38
resnet,ridnet_pca_256_face,0.80622009569378,0.9569377990430622,0.15071770334928225,0.34990439770554493,0.47609942638623326,0.12619502868068833,0.7185501066098081,0.7497656982193065,0.031215591609498383,63,21
resnet,ridnet_pca_256,0.80622009569378,0.9473684210526315,0.14114832535885158,0.34990439770554493,0.4397705544933078,0.08986615678776289,0.7185501066098081,0.7586206896551724,0.04007058304536426,59,42
ridnet_pca_128_face,ridnet_pca_128,0.8492822966507177,0.8923444976076556,0.0430622009569378,0.13575525812619504,0.20841300191204593,0.07265774378585088,0.8412322274881516,0.8288888888888889,-0.012343338599262732,18,22
ridnet_pca_128_face,ridnet_pca_256_face,0.8492822966507177,0.9401913875598086,0.09090909090909083,0.13575525812619504,0.28680688336520077,0.15105162523900573,0.8412322274881516,0.81789802289282,-0.023334204595331642,38,14
ridnet_pca_128_face,ridnet_pca_256,0.8492822966507177,0.9210526315789473,0.0717703349282296,0.13575525812619504,0.24282982791586993,0.10707456978967489,0.8412322274881516,0.8279569892473119,-0.01327523824083976,30,31
ridnet_pca_128,ridnet_pca_256_face,0.8397129186602871,0.9401913875598086,0.1004784688995215,0.15105162523900573,0.2963671128107075,0.14531548757170176,0.8278301886792453,0.8136645962732919,-0.014165592405953387,42,14
ridnet_pca_128,ridnet_pca_256,0.8397129186602871,0.9282296650717703,0.08851674641148322,0.15105162523900573,0.2466539196940727,0.09560229445506696,0.8278301886792453,0.8299465240641711,0.002116335384925838,37,34
ridnet_pca_256_face,ridnet_pca_256,0.9066985645933014,0.930622009569378,0.02392344497607657,0.2237093690248566,0.28298279158699813,0.05927342256214152,0.8293216630196937,0.8146596858638744,-0.014661977155819295,10,35
